product_id,sku,name,category,brand,price
sku-1001,SKU-1001,Wireless Mouse,electronics,Acme,49.99
sku-1002,SKU-1002,Mechanical Keyboard,electronics,Acme,129.0
sku-1003,SKU-1003,"27"" 4K Monitor",electronics,Lumen,349.9
sku-1004,SKU-1004,USB-C Hub 8-in-1,accessories,Portis,59.9
sku-1005,SKU-1005,Noise-Cancelling Buds,audio,Sonar,179.0
sku-1006,SKU-1006,Laptop Stand Alu,accessories,Portis,39.5
sku-1007,SKU-1007,Webcam 1080p,electronics,Lumen,74.9
sku-1008,SKU-1008,Ergonomic Chair,furniture,Seatly,449.0
sku-1009,SKU-1009,Desk Lamp LED,furniture,Lumen,34.9
sku-1010,SKU-1010,Portable SSD 1TB,storage,Byteon,119.0
