occurred_at,event_type,channel,session_id,device_type,country,city,product_id,product_name,category,brand,price,customer_id,segment,order_id,quantity,discount_pct,currency,payment_method,campaign,utm_source,utm_medium
2026-06-24T08:18:35+00:00,product_viewed,mobile_app,sess-partner-035,mobile,FR,Marseille,sku-1007,Webcam 1080p,electronics,Lumen,74.90,cust-00006,loyal,,,,EUR,,spring_sale,google,cpc
2026-06-24T08:20:37+00:00,add_to_cart,mobile_app,sess-partner-035,mobile,FR,Marseille,sku-1007,Webcam 1080p,electronics,Lumen,74.90,cust-00006,loyal,,3,,EUR,,spring_sale,google,cpc
2026-06-24T08:38:48+00:00,product_viewed,mobile_app,sess-partner-000,mobile,CH,Zurich,sku-1003,"27"" 4K Monitor",electronics,Lumen,349.90,cust-00007,new,,,,EUR,,newsletter,email,newsletter
2026-06-24T08:39:25+00:00,add_to_cart,mobile_app,sess-partner-000,mobile,CH,Zurich,sku-1003,"27"" 4K Monitor",electronics,Lumen,349.90,cust-00007,new,,3,,EUR,,newsletter,email,newsletter
2026-06-24T08:41:49+00:00,checkout_started,mobile_app,sess-partner-000,mobile,CH,Zurich,sku-1003,"27"" 4K Monitor",electronics,Lumen,349.90,cust-00007,new,,2,,EUR,,newsletter,email,newsletter
2026-06-24T08:45:22+00:00,product_viewed,web,sess-partner-027,desktop,FR,Lyon,sku-1006,Laptop Stand Alu,accessories,Portis,39.50,cust-00002,loyal,,,,EUR,,retargeting,meta,paid_social
2026-06-24T08:45:23+00:00,order_placed,mobile_app,sess-partner-000,mobile,CH,Zurich,sku-1003,"27"" 4K Monitor",electronics,Lumen,349.90,cust-00007,new,ord-p00001,2,5,EUR,paypal,newsletter,email,newsletter
2026-06-24T08:56:29+00:00,product_viewed,web,sess-partner-022,desktop,FR,Lyon,sku-1005,Noise-Cancelling Buds,audio,Sonar,179.00,cust-00002,loyal,,,,EUR,,newsletter,email,newsletter
2026-06-24T08:57:31+00:00,add_to_cart,web,sess-partner-022,desktop,FR,Lyon,sku-1005,Noise-Cancelling Buds,audio,Sonar,179.00,cust-00002,loyal,,1,,EUR,,newsletter,email,newsletter
2026-06-24T08:58:34+00:00,checkout_started,web,sess-partner-022,desktop,FR,Lyon,sku-1005,Noise-Cancelling Buds,audio,Sonar,179.00,cust-00002,loyal,,1,,EUR,,newsletter,email,newsletter
2026-06-24T09:00:09+00:00,order_placed,web,sess-partner-022,desktop,FR,Lyon,sku-1005,Noise-Cancelling Buds,audio,Sonar,179.00,cust-00002,loyal,ord-p00006,2,5,EUR,paypal,newsletter,email,newsletter
2026-06-24T09:02:49+00:00,product_viewed,mobile_web,sess-partner-006,mobile,ES,Madrid,sku-1004,USB-C Hub 8-in-1,accessories,Portis,59.90,cust-00003,returning,,,,EUR,,spring_sale,google,cpc
2026-06-24T09:16:21+00:00,product_viewed,web,sess-partner-023,desktop,FR,Marseille,sku-1007,Webcam 1080p,electronics,Lumen,74.90,cust-00006,loyal,,,,EUR,,newsletter,email,newsletter
2026-06-24T09:17:58+00:00,product_viewed,mobile_app,sess-partner-025,mobile,FR,Marseille,sku-1006,Laptop Stand Alu,accessories,Portis,39.50,cust-00006,loyal,,,,EUR,,spring_sale,google,cpc
2026-06-24T09:37:05+00:00,product_viewed,mobile_app,sess-partner-009,mobile,GB,London,sku-1010,Portable SSD 1TB,storage,Byteon,119.00,cust-00008,returning,,,,EUR,,spring_sale,google,cpc
2026-06-24T09:37:33+00:00,add_to_cart,mobile_app,sess-partner-009,mobile,GB,London,sku-1010,Portable SSD 1TB,storage,Byteon,119.00,cust-00008,returning,,3,,EUR,,spring_sale,google,cpc
2026-06-24T09:40:11+00:00,checkout_started,mobile_app,sess-partner-009,mobile,GB,London,sku-1010,Portable SSD 1TB,storage,Byteon,119.00,cust-00008,returning,,2,,EUR,,spring_sale,google,cpc
